Facility_uid,Facility_name,Facility_uid,Level,Ownership,Authority,Coordinates,Subcounty_uid,Subcounty_name,District_uid,District_name,Region_uid,Region_name
rwogm4xx92W,Gbulukuatuni HC II,rwogm4xx92W,HC II,Government,MOH,"[31.2215,3.00472]",RIRO5KSi82T,Rhino Camp Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
eYfYllZTnY0,Gemini Medicare HC III,eYfYllZTnY0,,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
BAwCly3VBRl,Generation Clinic HC II,BAwCly3VBRl,HC II,Private For Profit,,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
RoEEqZN2e63,Geno Nursing Home HC II,RoEEqZN2e63,HC II,Private For Profit,,"[34.12154,0.75428]",g8E2xKiKNDo,Kisoko Subcounty,KhT80mlwJ3Y,Tororo District,adZ6T35ve4h,Eastern Region
WgXtPbUAyJD,Geregere HC II,WgXtPbUAyJD,HC II,Government,MOH,"[33.23382,2.7729]",XAYIceYQGIl,Omot Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
SzVYBCcGiM7,Ggoli HC III NGO,SzVYBCcGiM7,HC III,Private Not For Profit,UCMB,"[32.22679,0.13734]",a8kpQiPpYy0,Kammengo Subcounty,YMMexeHFUay,Mpigi District,VA90IqaI4Ji,Central Region
NHQdOv9RFcN,Ggolo HC III,NHQdOv9RFcN,HC III,Government,MOH,"[32.06144,0.08349]",o2AmXGnxfGy,Nkozi Subcounty,YMMexeHFUay,Mpigi District,VA90IqaI4Ji,Central Region
aC6BO225r29,Ggwatiro Nursing Home HC III,aC6BO225r29,HC III,Private Not For Profit,,"[32.66144,0.35456]",l0LizWT16CQ,Kira Town Council,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
Ri4OIko6Faf,Gichara HC III,Ri4OIko6Faf,HC III,,,,a7t73IQZdXp,Kei Subcounty,W1JM2Qdhcv3,Yumbe District,pz9Uu65Irbg,Northern Region
uQv04QaavNU,Giftlife Clinic HC II,uQv04QaavNU,HC II,Private For Profit,,,OvJyCqX93Di,Adyel Division,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
f4yLtyMDUxW,Giligili Prision HC II,f4yLtyMDUxW,HC II,Private For Profit,Prisons,,IC4N267eDYG,Pajulu Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
OlR0DMxO8Xs,Gira Matsiko Clinic,OlR0DMxO8Xs,Clinic,Private For Profit,,,BUWL20wfAHB,Kamukuzi Division,auswb7JO9wY,Mbarara District,auJdpeHbeet,Western Region
AclAF5m6plv,Giramatsiko Clinic HC II,AclAF5m6plv,HC II,,,,eeX08t63esL,Kyangyenyi Subcounty,xAJgEKKAeRA,Sheema District,auJdpeHbeet,Western Region
GoIPHYEhRQa,Gisozi HC II,GoIPHYEhRQa,HC II,Government,MOH,"[29.61419,-1.13036]",PTydXF4vkcb,Muramba Subcounty,aPhSZRinfbg,Kisoro District,auJdpeHbeet,Western Region
B55xKoaIL2O,Gitovu HC II,B55xKoaIL2O,HC II,Government,,,fYaQexh3P77,Busanza Subcounty,aPhSZRinfbg,Kisoro District,auJdpeHbeet,Western Region
rjoadwzC16r,Give a Goat Africa HC II,rjoadwzC16r,HC II,Private For Profit,MOH,,ZwgfKE1W71u,Kisinga Subcounty,aa8xVDzSpte,Kasese District,auJdpeHbeet,Western Region
UpumtCGZcN0,Glanhor Clinic,UpumtCGZcN0,Clinic,Private For Profit,Local Government,,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
Sqe5p3lgH0c,Global Clinic - NR,Sqe5p3lgH0c,HC II,,,,WSDI45idzp5,Koboko Town Council,iqsaGItA68C,Koboko District,pz9Uu65Irbg,Northern Region
lEJIct8p3Pc,Global Clinic- Nakawa HC II,lEJIct8p3Pc,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
bqcYbI3x1sY,Global Medicare Centre,bqcYbI3x1sY,HC II,Private For Profit,Local Government,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
SiWTEQJNDOk,Globe Clinic,SiWTEQJNDOk,HC II,Private For Profit,Local Government,,FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
LaTVagxBesN,Gloria Cl- Butabika HC II,LaTVagxBesN,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
PTibRy1fyOg,Glory Be To God HC II,PTibRy1fyOg,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
TzEZ7bIXQdm,Glory Medical Centre CLINIC-NR,TzEZ7bIXQdm,,,,,h7rS7d8M2jI,Nansana Town Council,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
yW9vfg2siRM,Glory Medical Clinic HC II,yW9vfg2siRM,HC II,Private For Profit,,,LYuMx5oPsR5,Kawempe Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
V6ZPXCtZShs,Glory Of Christ Medical Centre HC II,V6ZPXCtZShs,HC II,,,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
WhPM66YD1S9,Goal Medical Centre HC II,WhPM66YD1S9,HC II,Private For Profit,Local Government,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
KEvML4KzriI,Goboro HC II,KEvML4KzriI,HC II,,,,fOv2DdPf7fG,Kochi SubCounty,W1JM2Qdhcv3,Yumbe District,pz9Uu65Irbg,Northern Region
fuWmnRveEAb,God Mercy CLINIC,fuWmnRveEAb,HC II,,,,jtCFBhcCIrW,Apac Town Council,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
Nq86LNSYxNv,God'S Grace Medical Centre CLINIC,Nq86LNSYxNv,Clinic,Private For Profit,,,LYuMx5oPsR5,Kawempe Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
YWAzDGlh8CO,God'S Mercy Clinic NR,YWAzDGlh8CO,HC II,,,,tecfO3gvavj,Mukono Central Division,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
gtfeLZ4Ea6H,God'S Providence HC II,gtfeLZ4Ea6H,HC II,Private For Profit,,,LkCq9TdFwPe,Nagongera Town Council,KhT80mlwJ3Y,Tororo District,adZ6T35ve4h,Eastern Region
aJSYXTymX7n,God'S Will Clinic HC II,aJSYXTymX7n,HC II,,,,FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
i37kvNZojdz,God`s Mercy Clinic-Anaka Clinic,i37kvNZojdz,Clinic,Private For Profit,Local Government,,wGT5jjiP2kz,Anaka Town Council,zNgVoDVPYgD,Nwoya District,pz9Uu65Irbg,Northern Region
kquCxUnBgEX,Godfroxy Medical Centre HC II,kquCxUnBgEX,HC II,Private For Profit,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
ci6s0lgQqFZ,Gogonyo HC III,ci6s0lgQqFZ,HC III,Government,MOH,"[33.61412,1.25442]",e4XWNDjKUXH,Gogonyo Subcounty,WiVj4bEhX4P,Pallisa District,adZ6T35ve4h,Eastern Region
Ha0ALdFr7Ui,Gold Cross Clinic HC II,Ha0ALdFr7Ui,HC II,Private For Profit,Local Government,"[32.58909,0.29713]",FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
i7Fuc4Klcyo,Golden Eye Surgery And Optical Services HC II,i7Fuc4Klcyo,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
OnQoVVYQ18t,Golden Fish Clinic HC II,OnQoVVYQ18t,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
F3VE0gdRXu1,Goli HC III NGO,F3VE0gdRXu1,HC III,NGO,UPMB,"[31.02779,2.39142]",VHak0ZFer7F,Nebbi Subcounty,Xjc0LDFa5gW,Nebbi District,pz9Uu65Irbg,Northern Region
HsN63X4XXwr,Golola Medical Care HC III,HsN63X4XXwr,HC III,Private Not For Profit,CSO,,a8kpQiPpYy0,Kammengo Subcounty,YMMexeHFUay,Mpigi District,VA90IqaI4Ji,Central Region
NB0Ww6f0PiX,Goma HC III,NB0Ww6f0PiX,HC III,Government,MOH,"[32.69448,0.39586]",VWM1FTIMfuj,Goma Division,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
XsLMulDu2aw,Gomba Kanoni HC III GOVT,XsLMulDu2aw,HC III,Government,MOH,"[31.90520,0.17013]",O55NSHMG3SN,Kanoni Town council (Gomba),lQj3yMM1lI7,Gomba District,VA90IqaI4Ji,Central Region
OdisbvWKxC8,Gombe HC II,OdisbvWKxC8,HC II,,Local Government,"[32.48190,0.51292]",awd0xy7yb1C,Gombe Subcounty (Wakiso),aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
xuCJ8NBomxP,Gombe HOSPITAL,xuCJ8NBomxP,General Hospital,Government,MOH,"[32.114144,0.184416]",McggXNT9Zyg,Gombe Town council,a3LMKP8z8Xj,Butambala District,VA90IqaI4Ji,Central Region
PpfqMtOz7xg,Good Care Health-NR,PpfqMtOz7xg,,,,,ktVICQZY6Va,Bugembe Town Council,aJR2ZxSH7g4,Jinja District,adZ6T35ve4h,Eastern Region
QTq9p1dd5Zl,Good Care Med HC II,QTq9p1dd5Zl,HC II,,,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
Sn2sCpFE4uO,Good Care Polyclinic HC II,Sn2sCpFE4uO,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
sYQUiBJ16rs,Good Fair HC II,sYQUiBJ16rs,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
ihZfC7lz2Nt,Good Health Clinic-NR,ihZfC7lz2Nt,Clinic,Private Not For Profit,,,l0LizWT16CQ,Kira Town Council,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
HXWHQopLSC7,Good Health For Women Project Clinic,HXWHQopLSC7,HC III,Private For Profit,Local Government,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
lK0TFtkF1iX,Good Hope HC II NGO,lK0TFtkF1iX,HC II,NGO,Local Government,,xMnKacdHGIz,Mahyoro Subcounty,uCVQXAdKqL9,Kamwenge District,auJdpeHbeet,Western Region
LkOMgdgNdIr,Good Hope MC HC II,LkOMgdgNdIr,HC II,Private For Profit,,"[32.49001,0.84695]",YhVHvo0UUnR,Luwero Town Council,tr9XWtYsL5P,Luwero District,VA90IqaI4Ji,Central Region
Rm1RDQip79X,Good Hope Medical Centre Clinic,Rm1RDQip79X,Clinic,Private For Profit,Local Government,,KhXTdz48N9o,Palabek Kal Subcounty,xy0M4HhjXtD,Lamwo District,pz9Uu65Irbg,Northern Region
LIuykl04kI9,Good Hope Medical Centre HC II,LIuykl04kI9,HC II,,,,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
Irar0fFmohc,Good Life Medical Centre,Irar0fFmohc,Clinic,Private For Profit,Local Government,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
UYhoQwEWonr,Good Samaritan CLINIC,UYhoQwEWonr,HC II,,,,fZFfFLzQrxM,Aduku Subcounty,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
c9shD3dnyLK,Good Samaritan Clinic HC II,c9shD3dnyLK,HC II,Private For Profit,,,UNiDU0Y3r2i,Ojwina Division,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
Pt2TBoTfFmN,Good Samaritan Clinic- Mbuya HC II,Pt2TBoTfFmN,HC II,Private For Profit,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
mEpI1IqFZmE,Good Samaritan Community Health Centre Kabasara HC II,mEpI1IqFZmE,HC II,Private Not For Profit,UPMB,,sIxtI5tcPqo,Nyamarwa Subcounty,tM3DsJxMaMX,Kibaale District,auJdpeHbeet,Western Region
oQtbnhBf0dB,Good Samaritan- Bwaise HC II,oQtbnhBf0dB,HC II,Private For Profit,,,LYuMx5oPsR5,Kawempe Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
CEchmlv2Xdh,Good Samaritan- Kabowa HC II,CEchmlv2Xdh,HC II,Private For Profit,,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
clwFA5OScDb,Good Samaritan- Naguru HC II,clwFA5OScDb,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
TF8Nekqc89W,Good Sheperd HC II,TF8Nekqc89W,HC II,Private Not For Profit,UPMB,"[32.00015,2.64084]",fT98rg0rZFy,Alero Subcounty,zNgVoDVPYgD,Nwoya District,pz9Uu65Irbg,Northern Region
pxvtCLDtsB6,Good Sheperd Kisenyi Mengo HC III,pxvtCLDtsB6,HC III,Private Not For Profit,UCMB,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
akv8vQ2aGvJ,Good Will Clinic,akv8vQ2aGvJ,Clinic,Private For Profit,,,O29YQnbcXRf,Aputi Subcounty,ZuQHWOaFQVM,Amolatar District,pz9Uu65Irbg,Northern Region
oeupHvcQnUg,Good Will Clinic- Bakuli,oeupHvcQnUg,Clinic,,,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
OsmVTpRwHc4,Good Will Clinic- Luzira HC II,OsmVTpRwHc4,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
aBqoslhNpz0,Good Will Polyclinic & Nursing Home CLINIC,aBqoslhNpz0,Clinic,Private For Profit,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
vzDOHutDfxL,Goodlife Medical centre HC II,vzDOHutDfxL,HC II,Private For Profit,Local Government,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
fLjNMAg4ymN,Goodwilll Polyclinic,fLjNMAg4ymN,Clinic,Private Not For Profit,CSO,,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
VZjIOTAddHZ,Goopi HC II,VZjIOTAddHZ,HC II,Government,MOH,"[31.74693,3.61347]",aCaPqIkvV2s,Metu Subcounty,W0kQBddyGyh,Moyo District,pz9Uu65Irbg,Northern Region
amlzPVudII4,Grace Health Unit HC II,amlzPVudII4,HC II,,,"[32.608071,0.289883]",FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
OBEXwM3XooT,Grace Medical  HC II - NR,OBEXwM3XooT,HC II,Private For Profit,Local Government,,ktVICQZY6Va,Bugembe Town Council,aJR2ZxSH7g4,Jinja District,adZ6T35ve4h,Eastern Region
tSL5FQJjlkg,Grace Medical Centre,tSL5FQJjlkg,Clinic,Private For Profit,Local Government,,kVC2XemQfB6,Pallisa Town council,WiVj4bEhX4P,Pallisa District,adZ6T35ve4h,Eastern Region
DGpOVgWP32V,Grace Medical Centre - Kireka CLINIC-NR,DGpOVgWP32V,,,,,l0LizWT16CQ,Kira Town Council,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
e1b6xYN44Lt,Grace Medical Centre HC II,e1b6xYN44Lt,HC II,Private For Profit,Local Government,,FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
XgMlGbGk8Z7,Grace Medical Centre- Kitende CLINIC-NR,XgMlGbGk8Z7,,,,,fIAdaHNM2zm,Ssisa Subcounty,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
mXj0B3vQvyy,Graceland Medical Centre,mXj0B3vQvyy,HC II,Private For Profit,Local Government,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
RefkDqDX6jq,Gracious Clinic and Maternity Clinic,RefkDqDX6jq,Clinic,Private For Profit,Local Government,,OKIyTJatyIr,Paicho Subcounty,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
vI2jn92yFm3,Gracious Clinic HC II,vI2jn92yFm3,HC II,NGO,Local Government,,q03uh0SJ0N9,Koro Subcounty,S5fvUXgY54J,Omoro District,pz9Uu65Irbg,Northern Region
BPaWO6dvi0c,Gracious Domiciliary Home,BPaWO6dvi0c,HC II,Private For Profit,Local Government,,FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
DUF2Qd4Evfh,Grade Clininic CLINIC-NR,DUF2Qd4Evfh,,,,,l0LizWT16CQ,Kira Town Council,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
C2ZIDlhNqLg,Great Mission of Guma Guma HC II,C2ZIDlhNqLg,,Private For Profit,,,M9l386COmzm,Sembabule Town Council,j7AQsnEYmvi,Sembabule District,VA90IqaI4Ji,Central Region
lrve7iVFZvn,Green Cottage Clinic NR,lrve7iVFZvn,HC II,,,,tecfO3gvavj,Mukono Central Division,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
mAaPBrg0Ium,Green Life Clinic,mAaPBrg0Ium,HC II,Private For Profit,Local Government,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
nZ9o373Dt8R,Green Valley CLINIC,nZ9o373Dt8R,Clinic,Private For Profit,Local Government,,IU8fCTgthtM,Hamurwa Subcounty,wZrfAgC3WrU,Rubanda District,auJdpeHbeet,Western Region
gOAevChcW5P,Greenbelt Kawempe HC II,gOAevChcW5P,HC II,,,,LYuMx5oPsR5,Kawempe Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
RejKGaLY6QD,Gremark Medical Centre HC II,RejKGaLY6QD,HC II,,,,LYuMx5oPsR5,Kawempe Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
SOcapZDYuej,Guardian Clinic,SOcapZDYuej,Clinic,Private For Profit,Local Government,,BJc6aAKfEdk,Arua Hill Division,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
x1UaYpPwx6c,Gulu  Military Hospital,x1UaYpPwx6c,General Hospital,Government,Army,"[32.28098536,2.779666686]",kTswDBmRkXI,Bar-dege Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
jSBuNBoO2fK,Gulu Community Health Care HC II PHP - NR,jSBuNBoO2fK,HC II,,,,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
MjkYrMur1hq,Gulu Family Lab CLINIC - NR,MjkYrMur1hq,HC II,,,,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
RsY5tCgiuHp,Gulu Independent Hospital,RsY5tCgiuHp,General Hospital,Private For Profit,,"[32.29025,2.77957]",kTswDBmRkXI,Bar-dege Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
ac0AKXEU6Cz,Gulu Lifeline Clinic - NR,ac0AKXEU6Cz,HC II,,,,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
aRBRoPNJuhf,Gulu Marie Stopes HC II NGO,aRBRoPNJuhf,HC II,NGO,RHU,"[32.29785,2.77451]",x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
afGTmR6EesS,Gulu Police HC II,afGTmR6EesS,HC II,Government,Police,"[32.30535,2.77517]",spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
i7JbInoEb2D,Gulu Prison HC III,i7JbInoEb2D,HC III,Government,Prisons,"[32.29153,2.77277]",p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
QDc7Wijvfca,Gulu Regional Referal Hospital,QDc7Wijvfca,RR Hospital,Government,MOH,"[32.29853,2.78069]",x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
GDyo7zIJZ29,Gulu University HC II,GDyo7zIJZ29,HC II,Government,MOH,"[32.31611,2.78737]",x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
mYPMCIciTIy,Gulu women prisons HC II,mYPMCIciTIy,HC II,,,"[32.29278,2.77005]",p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
qZUu0ylcHTa,Gulu Youth Centre HC II,qZUu0ylcHTa,HC II,Private Not For Profit,CSO,"[32.29519,2.78351]",x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
l25J2D2A6R3,Guru Guru HC II,l25J2D2A6R3,HC II,Government,MOH,"[32.172583,2.910173]",COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,pz9Uu65Irbg,Northern Region
EyZf2HkJvV3,GV Medical Centre,EyZf2HkJvV3,HC II,Private For Profit,Local Government,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
MahcHK5QjeS,Gwafu Clinic-NR,MahcHK5QjeS,,,,,VWM1FTIMfuj,Goma Division,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
hhlAmkWLbR2,Gwanda HC II,hhlAmkWLbR2,HC II,Government,MOH,"[31.73692,-0.89456]",a0WerFS0RsJ,Kyebe Subcounty,P8iz90eiIrW,Rakai District,VA90IqaI4Ji,Central Region
ZEMMz1yfCIf,Gwaragwara HC II,ZEMMz1yfCIf,HC II,Government,MOH,"[34.10269,0.73312]",g8E2xKiKNDo,Kisoko Subcounty,KhT80mlwJ3Y,Tororo District,adZ6T35ve4h,Eastern Region
resqo4n29Tk,Gweng-Coo HC II,resqo4n29Tk,HC II,Government,MOH,"[32.88133,3.2223]",awkC6nEZfiH,Labongo Amida Subcounty,pnTVIF5v27r,Kitgum District,pz9Uu65Irbg,Northern Region
F6wXWJHDAlo,Gwengdiya HC II,F6wXWJHDAlo,HC II,Government,MOH,"[32.33589,2.93559]",nd7BxeKY0BC,Awach Subcounty,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
eapf6Ytr2Tb,Gwere Clinic,eapf6Ytr2Tb,HC II,Private For Profit,Local Government,,FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
aFLv0Mbd84E,Gwere HC II,aFLv0Mbd84E,HC II,Government,MOH,"[31.55614,3.58451]",FBzF6PAZ005,Lefori Subcounty,W0kQBddyGyh,Moyo District,pz9Uu65Irbg,Northern Region
WY3yVWM5gaL,Gweri HC III,WY3yVWM5gaL,HC III,Government,MOH,"[33.731964,1.720797]",bGpRkGyvpw2,Gweri Subcounty,srmGjHrpVE5,Soroti District,adZ6T35ve4h,Eastern Region
uQfKt8peqpc,H.B Medical Centre,uQfKt8peqpc,HC II,Private For Profit,Local Government,,LYuMx5oPsR5,Kawempe Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
W7fiTCkLzlW,Haama HC II,W7fiTCkLzlW,HC II,Government,MOH,"[33.698084,-0.119289]",aifNCvFFHYu,Sigulu Islands Subcounty,Ut0ysYGEipO,Namayingo District,adZ6T35ve4h,Eastern Region
YpGEOFl3rwL,Haawa Medical Services CLINIC-NR,YpGEOFl3rwL,,,,,EAvf9A8eXu3,Entebbe Division B,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
maYOk6qMIaO,Habubale HC II,maYOk6qMIaO,HC II,Government,MOH,"[29.902343,-1.436034]",ACGwiDCOGnv,Butanda Subcounty,zBIpPzKYFLp,Kabale District,auJdpeHbeet,Western Region
eDMgteYPoGT,Habuleke HC II,eDMgteYPoGT,HC II,Government,MOH,"[34.003536,0.555853]",ZCNZLPHbl3A,Busitema Subcounty,lkuO79O6mRx,Busia District,adZ6T35ve4h,Eastern Region
Bem90HegWTI,Hafla Dom Clinic HC II,Bem90HegWTI,HC II,Private For Profit,Local Government,,FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
a7PVBlWykhK,Hahoola HC II,a7PVBlWykhK,HC II,Government,MOH,"[33.8933139405299,0.854671353141211]",saGv90kz1c0,Busaba Subcounty,MtpE3CH6vq3,Butaleja District,adZ6T35ve4h,Eastern Region
KkZ6vHX6RNG,Hajat Hadija HC II,KkZ6vHX6RNG,HC II,Private For Profit,Local Government,,LYuMx5oPsR5,Kawempe Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
V5s2f18WoNf,Hakishenyi HC II,V5s2f18WoNf,HC II,Private Not For Profit,UCMB,"[29.99274,-1.17162]",EkLjk71mOyH,Nyamweru Subcounty,wZrfAgC3WrU,Rubanda District,auJdpeHbeet,Western Region
bhJFKwRg9fE,Hamukungu HC II,bhJFKwRg9fE,HC II,Government,MOH,"[30.07891,0.01450]",r1CT8PzuM0D,Lake Katwe Subcounty,aa8xVDzSpte,Kasese District,auJdpeHbeet,Western Region
GzCsU3tbMbg,Hamurwa HC IV,GzCsU3tbMbg,HC IV,Government,MOH,"[29.903637,-1.129296]",IU8fCTgthtM,Hamurwa Subcounty,wZrfAgC3WrU,Rubanda District,auJdpeHbeet,Western Region
Uy2HGBPq63p,Hana Clinic,Uy2HGBPq63p,HC II,Private For Profit,Local Government,,FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
NYcdCr1w60w,Hannis Clinic HC II,NYcdCr1w60w,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
inA8rhVpavB,Happy Family Domiciliary HC II,inA8rhVpavB,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
FpU5gsGOf6n,Happy Health Insurance Scheme,FpU5gsGOf6n,HC II,Private Not For Profit,Local Government,,XziArrrpUNq,Ntungamo Western Division,hAoe9dhZh9V,Ntungamo District,auJdpeHbeet,Western Region
a1H4RSyoXOj,Hapuuyo HC III,a1H4RSyoXOj,HC III,Government,MOH,"[31.06648,0.59789]",ai2RrlY9Fcd,Hapuuyo Subcounty,a9tQqo1rSj7,Kyegegwa District,auJdpeHbeet,Western Region
apcoJBMhHZr,Harold Poly Clinic-NR,apcoJBMhHZr,,,,,l0LizWT16CQ,Kira Town Council,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
