Facility_uid,Facility_name,Facility_uid,Level,Ownership,Authority,Coordinates,Subcounty_uid,Subcounty_name,District_uid,District_name,Region_uid,Region_name
E54nsqRq0My,Abaasa Health Care Clinic HC II,E54nsqRq0My,HC II,Private For Profit,Local Government,,KQCblChIrTo,Kikagati Subcounty,UaR7OHycj8c,Isingiro District,auJdpeHbeet,Western Region
gqBr1S7L6yG,Abaita Medical Centre Clinic,gqBr1S7L6yG,Clinic,Private For Profit,Local Government,"[32.50057,0.09262]",TMJdZnNOFfa,Katabi Subcounty,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
yDPmjwoOIxi,Abako HC III,yDPmjwoOIxi,HC III,Government,UPMB,"[33.22367,2.14555]",i8gkuINdorl,Abako Subcounty,p7EEgDEX3jT,Alebtong District,pz9Uu65Irbg,Northern Region
etPrOnArvd1,Abako-Elim HC II,etPrOnArvd1,HC II,Private Not For Profit,,"[33.20304,2.12141]",RHEU4J1wJiy,Awei Subcounty,p7EEgDEX3jT,Alebtong District,pz9Uu65Irbg,Northern Region
E9a1cflRJZf,Abala  HC II,E9a1cflRJZf,HC II,Government,MOH,"[32.97643,2.531]",FNqGR9apfAN,Agweng Subcounty,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
UjMKFe4MIGj,Abalang  Dokolo HC II,UjMKFe4MIGj,HC II,Government,MOH,"[33.244536,2.032713]",lbIyDdBijdD,Okwalongwen Subcounty,wMQ25dybdgH,Dokolo District,pz9Uu65Irbg,Northern Region
aQrkHdMfe12,Abalang HC II,aQrkHdMfe12,HC II,Government,MOH,"[33.29895,1.98173]",t89pNBmJnKW,Anyara Subcounty,QoRZB7xc3j9,Kaberamaido District,adZ6T35ve4h,Eastern Region
hPIXVP3f1nP,Abanya HCII,hPIXVP3f1nP,,Government,,,amLhY9BnViS,Acaba Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
IswqGyDbcgm,Abarilela HC III,IswqGyDbcgm,HC III,Government,MOH,"[33.81817,1.962]",YjjiR3pf7GD,Abarilela Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
eqXcVOLqXPI,ABBU Clinic,eqXcVOLqXPI,Clinic,Private For Profit,Local Government,,VzNo51e77c5,Butunduuzi Town Council,O9MoQcpZ4uA,Kyenjojo District,auJdpeHbeet,Western Region
aqVk5wVqyQf,ABC Maternity Home - NR,aqVk5wVqyQf,HC II,,,,eN59rRkxQhi,Kangulumira Subcounty,ykxQEnZGXkj,Kayunga District,VA90IqaI4Ji,Central Region
yVYFwnN6Cnd,Abednego Medical Centre HC II,yVYFwnN6Cnd,HC II,Private For Profit,Local Government,,lmgYdspcL6p,Nyabbani Subcounty,uCVQXAdKqL9,Kamwenge District,auJdpeHbeet,Western Region
