cphl_facility_id,cphl_facility_name,dhis2_facility_name,dhis2_facility_uid,dhis2_district_uid
2802,Aroi H/C III,Aroi HC III,l268ov5GFsR,WcB3kLlgRTb
49,Aromo H/C III,Aromo HC III,SvBwj5ZrWMx,Lj8t70RYnEt
2294,Arua Police H/C III,Arua Police HC III,Oib4aFmRmve,WcB3kLlgRTb
50,Arua R R Hospital,Arua REGIONAL REF HOSPITAL,THGKB3lHEUx,WcB3kLlgRTb
2757,Asamuk H/C III,Asamuk HC III,Sj7ljAIcmjq,TM6ccNxawqy
2614,Asuret H/C III,Asuret HC III,AY24xwaz8Ml,srmGjHrpVE5
3014,Olum H/C IV,Orum HC IV,FtmVm4r1H3a,aXjub1BYn1y
52,Atanga H/C III,Atanga HC III,SF33CGHTeUn,aBrjuZk0W31
1685,Atangi H/C III,Atangi HC III,I3q42sKAJua,KhT80mlwJ3Y
8243,Ofua MSF H/C III,Ofua HC III,BSrrPPLiBZo,QYiQ2KqgCxj
53,Atiak H/C IV,Atiak HC IV,i5CDWEBfo9n,C0RSe3EWBqU
3131,Atiira H/C III,Atiira HC III,sUtrRkuRSAm,zJfpujxC1kD
2972,Atoot H/C II,Atoot HC II,QDqSXZrFf6O,aj4hsYK3dVm
2643,Atutur Hospital,Atutur Hospital,aOoSM1O7H9D,saT18HClZoz
3173,Aukot H/C II,Aukot HC II,t7m1vt8ZdgY,srmGjHrpVE5
2093,Avogera H/C II,Avogera HC III,x5YYIG54agu,CQTmrrriwOq
57,Awach H/C IV (Gulu),Awach HC IV,Z1dfGmIoSeF,Gwk4wkLz7EW
2450,Awere H/C III,Awere HC III,arbBXd1KN8n,aBrjuZk0W31
2923,Awoo H/C II,Awoo HC II,zardxfXWmkO,S5fvUXgY54J
850,Ayago H/C III,Ayago HC III,AXlKF4953Sh,Lj8t70RYnEt
8218,Ayilo H/C III,Ayilo 1 HC III,DID38FOFn2W,QYiQ2KqgCxj
2650,Ayipe H/C III,Ayipe HC III,mMZD31O698s,iqsaGItA68C
2829,Ayira Health Services,Ayira Health Services,FkTtVWHYtc1,Lj8t70RYnEt
2803,Ayivuni H/C III,Ayivuni HC III,Ae8zVsIuHFC,WcB3kLlgRTb
62,Aywee H/C III,Aywee HC III,aE0Yzd3YZQ9,Gwk4wkLz7EW
2510,Azur Christian H/C IV,Azur HC III,rWhuHZdqFk8,PJFtfCyp6Rb
64,Baitambogwe H/C III,Baitambogwe HC III,dBJMmXzJwYi,mv4gKtY0qW8
3029,Bakalube H/C II,Bukaleba HC II,aQDfPLRH2Cx,mv4gKtY0qW8
65,Bala H/C III,Bala HC III,rEncXrvkJ3Z,Y4LV8xqkv6J
814,Balawoli H/C III,Balawoli HC III,X0BZOCXmDkj,oyygQ2STBST
2413,Bamugolodde H/C III,Bamugolodde HC III,aSMuKx05RO8,aUcYGQCK9ub
2348,Bamunanika H/C III,Bamunanika HC III,Y8UhpQhdeP2,tr9XWtYsL5P
937,Banda H/C II (Wakiso),Wakiso Banda HC II GOVT,aV1BxN0b2cm,aIahLLmtvgT
808,Banda H/C III (Namayingo),Banda HC III,eAfaPMGjisn,Ut0ysYGEipO
3116,Barakala H/C III,Barakala HC III,e1kEs6glxbT,W1JM2Qdhcv3
2394,Barapwo H/C III,Barapwo HC III,amDpMeSgs3P,Lj8t70RYnEt
830,Bardege H/C III,Bar-dege HC III,aKP6B0Z5nbZ,Gwk4wkLz7EW
2332,Barjobi H/C III,Barjobi HC III,O4N8uOmlbM6,aXjub1BYn1y
68,Barr H/C III,Barr HC III,CpZY2oCsE5i,Lj8t70RYnEt
69,Bata H/C III,Bata HC III,NunHrloqul7,wMQ25dybdgH
890,Bbaale H/C IV,Bbaale HC IV,ptIo7ouXsPw,ykxQEnZGXkj
3406,Beatrice Tierney H/C II,Beatrice Tierne HC II,asYho1oZJbG,AhwgeZQYj16
2286,Benedict Medical Centre  HC IV,Benedict Medical Centre  HC IV,QUd8daomu0P,aXmBzv61LbM
71,Bibia H/C III,Bibia HC III,N00TPmBoIls,C0RSe3EWBqU
72,Biddabugya H/C III,Bidabugya HC III,YTCehe1KMvF,aSbgVKaeCP0
715,Bigasa H/C III,Bigasa HC III,HW6fE9RYBjI,Ame30QOwuX6
2519,Bigodi H/C III,Bigodi HC III,d3ugFJbENWb,uCVQXAdKqL9
2483,Biguli H/C III,Biguli HC III,Sg3h27N489f,uCVQXAdKqL9
3319,Bigungiro H/C II,Bigungiro HC II,oZVIABxg51n,wZrfAgC3WrU
1816,Bihanga Army H/C II,Bihanga Updf Barracks HC II,k58XY2uVEjN,r8WLxW9JwsS
