cphl_facility_id,cphl_facility_name,dhis2_facility_name,dhis2_facility_uid,dhis2_district_uid
3104,Buluya H/C II,Buluya HC II,nM0hEumLl8G,oyygQ2STBST
3355,Bulwadda H/C II,Bulwadda HC II,QLJmdTgkB3N,lQj3yMM1lI7
2950,Bulwala H/C III,Bulwala HC III,a9fe7RYnAFV,wJ2a6YKDFZW
2126,Bumadada H/C III,Bumadada HC III,OlaVEDuSn6W,yuo5ielNL7W
991,Metha Hospital,Lugazi Scoul HOSPITAL,achC82olIo9,x75Yh65MaUa
2890,Bumalenga H/C II,Bumalenge HC II,Zd4l6BoQjP5,Ut0ysYGEipO
2659,Bumangi H/C II,St Elizabeth Bumangi HC II,aaNmTnGylMb,JrHILmtK0OU
123,Bumanya H/C IV,Bumanya HC IV,dZSLpFo3Ow2,kJCEJnXLgnh
3196,Bumasobo H/C III,Bumasobo HC III,G2x4IQfoW0p,auLatLbcOxf
954,Bumbo H/C III,Bumbo HC III,uiIUQsgVTAj,JIZDvNlIhXS
813,Bumooli H/C III,Bumooli HC III,aspYcErPY7F,Ut0ysYGEipO
3048,Bumugusha H/C III (Bulambuli),Bumugusha HC III,CwPZMYQPea5,auLatLbcOxf
2951,Bumulisha H/C III,Bumulisha HC III,jauAUu9YBbl,wJ2a6YKDFZW
2952,Bumumulo H/C III,Bumumulo HC III,ag6oANQZEh6,wJ2a6YKDFZW
3049,Bumwambu H/C III,Bumwambu HC III,GT8CbxGtA7o,auLatLbcOxf
912,Bumwoni H/C III,Bumwoni HC III,CIVkMjSRVBX,JIZDvNlIhXS
2990,Bunagami H/C III,Bunagami HC III,a3qhORZNhaG,wJ2a6YKDFZW
3140,Bunambale H/C III,Bunambale HC III,aW4S9Y3XhuV,JIZDvNlIhXS
3047,Bunambutye H/C III,Bunambutye HC III,TwZ0KmmR1od,auLatLbcOxf
3072,Bunapongo H/C III,Bunapongo HC III,Lm5ZpEDH78a,yuo5ielNL7W
2991,Bunaseke H/C III,Bunaseke HC III,A8E98vahuiC,wJ2a6YKDFZW
2411,Bundibugyo Hospital ,Bundibugyo Hospital,VkNdAzkYGjh,g8M1cWRJZV6
126,Bungokho Mutoto H/C III,Bungokho Mutoto HC III,qqNrWKGgl1e,yuo5ielNL7W
1025,Bunjako H/C III,Bunjako HC III,X1RkzMg2Hn1,YMMexeHFUay
2550,Bunoga H/C III,Bunoga HC III,oa2Jc3fTgtD,uCVQXAdKqL9
128,Bunyiiro H/C III,Bunyiiro Gvt HC III,BxF2c8dwf02,oNxpMjveyZt
821,Bupadhengo H/C III,Bupadhengo HC III,ECSAxXG3JMh,oyygQ2STBST
1672,Bupoto H/c III,Bupoto Hc III,aJCkfyIurtg,JIZDvNlIhXS
129,Buraru H/C III,Buraru HC III,TJESax78KE7,PJFtfCyp6Rb
111,Buremba H/C III,Buremba HC III,rRPBsggvt0q,qf9xWZu7Dq8
1329,Burere H/C III,Burere HC III,bYYKbpHb8Y7,sWoNWQZ9qrD
3314,Burombe H/C III,Burombe HC III,aHPLLEMdB4o,tugqr4dY6wq
3371,Burunga H/C III,Burunga HC III,j0I9qHOtVIw,qf9xWZu7Dq8
1050,Busaana H/C III,Busaana HC III,aLmtlWu249T,ykxQEnZGXkj
2901,Busaba H/C III,Busaba HC III,Kz4R1fHjE7p,MtpE3CH6vq3
909,Busabaga H/C III,Busabaga HC III,analluLubfV,x75Yh65MaUa
3403,Busabala Rd Nursing Home,Busabala Nursing Home HC II,GxOxwosJPjh,aXmBzv61LbM
2881,Busabi H/C III,Busabi HC III,YFyMK0BnLsG,MtpE3CH6vq3
3019,Busala H/C II,Busaala HC II,ayit7T8VnwQ,mv4gKtY0qW8
3245,Busamaga H/C III,Busamaga HC II,C9Kvzwphv8J,yuo5ielNL7W
958,Busamuzi H/C III,Busamuzi HC III,afzGq7RpOTl,aZLZPPjqft0
133,Busano H/C III,Busano HC III,S3tP2Tw15nr,yuo5ielNL7W
134,Busanza H/C IV,Busanza HC IV,pCvTmt48vr0,aPhSZRinfbg
2882,Busaru H/C IV,Busaru HC IV,xpfoySoqqeO,g8M1cWRJZV6
1707,Busawamanze HC III,Busawamanze HC III,rjIpxD2fcZB,aIahLLmtvgT
776,Busedde H/C III,Busedde HC III,t5UJ7lyEPo3,aJR2ZxSH7g4
779,Busembatia H/C III,Busembatia HC III,RWICuGNoE6b,oNxpMjveyZt
1112,Buseruka H/C III,Buseruka HC III,ccVG52jNm8D,PJFtfCyp6Rb
135,Busesa H/C IV,Busesa HC IV,FLMye24JUsV,oNxpMjveyZt
3056,Buseta H/C III,Buseta HC III,oCg2PMCReX1,Oyxwe3iDqpR
137,Bushenyi H/C IV,Bushenyi HC IV,jmcxCPyDHHS,It5UGwdHAPF
138,Bushenyi Medical Centre H/C III,Bushenyi Medical Center HC III,aJNgqIuVpYF,It5UGwdHAPF
1185,Bushika H/C III,Bushika HC III,J3KJzX1JSXu,AhwgeZQYj16
139,Bushikori H/C III,Bushikori HC III,b5gYOcDzgXn,yuo5ielNL7W
3088,Bushiyi H/C III,Bushiyi HC III,iu8AuF8DVXT,AhwgeZQYj16
142,Busia H/C IV,Busia HC IV,Yr843NBuL9D,lkuO79O6mRx
2557,Busiriba H/C II,Busiriba HC II,iR4NuGQdNOq,uCVQXAdKqL9
1620,Busiro H/C III,Busiro HC III,s3KGtzqaMyJ,Ut0ysYGEipO
2871,Busitema H/C III,Busitema HC III,x2bKnIqqcFt,lkuO79O6mRx
145,Busiu H/C IV,Busiu HC IV,zeEOtz7XwxV,yuo5ielNL7W
2865,Busolwe Hospital,Busolwe Hospital,jBZmte6aqoD,MtpE3CH6vq3
1263,Busowobi H/C III,Busowobi HC III,fqWdsy0CuFR,oNxpMjveyZt
2449,Bussi H/C III,Bussi HC III,tBl4WduwWRw,aIahLLmtvgT
3141,Busunju H/C III,Busunju HC II,acZImyCaeNM,Q7PaNIbyZII
146,Butabika NATIONAL REFERAL HOSPITAL,Butabika NATIONAL REFERAL HOSPITAL,KssVUerFkyV,aXmBzv61LbM
2577,Butagaya H/C III,Butagaya HC III,ga9sLsbCiMo,aJR2ZxSH7g4
2891,Butaleja H/C III,Butaleja HC III,Tj9XBHhCMQH,MtpE3CH6vq3
2238,Butama H/C III,Butama HC III,EV2MoBNsOm6,g8M1cWRJZV6
2521,Butanda H/C III,Butanda HC III,ktaPwuDxHca,zBIpPzKYFLp
2992,Butandiga H/C III,Butandiga HC III,PX7XHOUnYJY,wJ2a6YKDFZW
940,Butansi H/C III,Butansi HC III,nWJKeP8N21c,oyygQ2STBST
3177,Butare H/C III (Buhweju),Butare HC III,RndGp2J7TuE,sWoNWQZ9qrD
3147,Butare H/C III (Ntungamo),Butaare HC III,a9vGVj3Ftt9,hAoe9dhZh9V
1224,Buteba H/C III,Buteba HC III,aJgUSQQuIsM,lkuO79O6mRx
2885,Butebo H/C IV,Butebo HC IV,xRyghoPrl27,WiVj4bEhX4P
148,Butema H/C III,Butema HC III,VyKflstsoTt,PJFtfCyp6Rb
1314,Butemba H/C III,Butemba HC III,JHtjwrjBlm4,IVuiLJYABw6
1256,Butende H/C III,Butende HC III,S79Lcu8O003,bIONCoCnt3Q
149,Butenga H/C IV,Butenga HC IV,gBVBGJ2p9b3,Ame30QOwuX6
2993,Buteza H/C III,Buteza HC III,aURmSknLg9S,wJ2a6YKDFZW
1581,Butiaba H/C II,Butiaba HC III,GnAcwCmEkxS,CQTmrrriwOq
2853,Butiiti H/C III,Butiiti HC III,XRMXI2fhgoK,O9MoQcpZ4uA
3188,Butiru Chrisco Hospital,Butiru Chrisco HC III,JHUDOhEfQ9t,JIZDvNlIhXS
151,Butiru H/C III,Butiru HC III,Wsm1yq3s0Lw,JIZDvNlIhXS
8232,Butogota H/C II,Butogota HC II,aRwFP1c5PuU,aphcy5JTnd6
8246,Butoloogo H/C II (C/o Madudu H/C III),Butoloogo HC II,QGlZ7LIOS00,lzWuB6bCQeV
1698,Butoolo H/C III,Butoolo HC III,Co0DLFVgmGz,YMMexeHFUay
3082,Butunduzi H/C III,Butunduzi HC III,sLg8XDLt89n,O9MoQcpZ4uA
2356,Butuntumula H/C III,Butuntumula HC III,NGteaaEKAMh,tr9XWtYsL5P
153,Buvuma H/C IV,Buvuma HC IV,ewMHVf7tjwq,aZLZPPjqft0
2335,St Benedict H/C II(Buikwe),St. Benedict's HC III,OZm6EKHBeMU,aJR2ZxSH7g4
932,Buwabwala H/C III,Buwabwala HC III,tZ2r1YHQh04,JIZDvNlIhXS
907,Buwagajjo H/C III,Buwagajjo HC III,imFgSY3OUvZ,x75Yh65MaUa
154,Buwaiswa H/C III,Buwaiswa HC III,uja4Tx4IR8w,mv4gKtY0qW8
2994,Buwalasi H/C III,Buwalasi HC III,GpKYBJWFJJ6,wJ2a6YKDFZW
743,Buwama H/C III,Buwama HC III,Vi3ibjRtMzU,YMMexeHFUay
155,Buwambo H/C IV,Buwambo HC IV,aq5a4s4nH5n,aIahLLmtvgT
3316,Buwangwa H/C III,Buwangwa HC III,YiiEgLjAdyx,yuo5ielNL7W
2995,Buwasa H/C IV,Buwasa HC IV,yyYPcgZm4xP,wJ2a6YKDFZW
158,Buwenge H/C IV,Buwenge HC IV,hYRpOD0ijAo,aJR2ZxSH7g4
964,Buwenge Hospital,Buwenge General Hospital,XiavvWaLLRz,aJR2ZxSH7g4
1273,Buwooya H/C III,Buwooya HC II,AIl1p6YgqxA,aZLZPPjqft0
1257,Buwunga H/C III (Bugiri),Bugiri Buwunga HC III GOVT,yJNtR9S3CZZ,gUaoj8Geuao
2457,Buwunga H/C III (Masaka),Masaka Buwunga HC III GOVT,F826wgZ6HPF,bIONCoCnt3Q
3054,Buyaga H/C III(Bulambuli),Buyaga HC III,aUCVOvi5Zz5,auLatLbcOxf
159,Buyamba H/C III-Rakai,Buyamba HC III,OQnJUNl390Z,P8iz90eiIrW
2750,Buyanja H/C II (Gomba),Buyanja  HC II (Gomba),Abzyw3gTHdQ,lQj3yMM1lI7
1425,Buyanja H/C III (Rukungiri),Buyanja HC III,abHQOTY0rmo,tugqr4dY6wq
831,Buyende H/C III,Buyende HC III,a6qaoH2Xzb1,F3ccON3OCsL
2670,Medical Centre III,Bukomansimbi Medical Center HC III,obXcd9wL3Pf,Ame30QOwuX6
3107,Buyiga H/C III,Buyiga HC II,gxT5NVatL14,YMMexeHFUay
160,Buyinja H/C IV,Buyinja  HC IV,NnSbfZjOXJd,Ut0ysYGEipO
161,Buyoga H/C III,Buyoga HC III,RlulmyGd2XY,Ame30QOwuX6
3280,Buziika H/C II,Buziika HC II,WfEOwsEOMbc,x75Yh65MaUa
2446,Buziirasagama H/C II,Buzirasagama HC II,ZAhGP8KMuzQ,m77oR1YJESj
3023,Bwalula H/C II,Bwalula HC II,WyB0okmGKma,mv4gKtY0qW8
2307,Bwama H/C III,Bwama HC III,aG1YMQc0jte,zBIpPzKYFLp
1276,Bwambara H/C III,Bwambara HC III,ACeIX77jOBg,tugqr4dY6wq
1083,Bweema H/C III,Bweema HC III,G6GmMEAZA9r,aZLZPPjqft0
1419,Bwendero H/C III,Bwendero HC III,yOzYKPK76Bq,JrHILmtK0OU
162,Bwera Hospital,Bwera HOSPITAL,HLeMhK9q6Wm,aa8xVDzSpte
1175,Bweyogerere H/C III,Bweyogerere HC III,cmB5Q4tejGP,aIahLLmtvgT
1759,Bweyogerere H/C III Muslim (Hassan Tourabi H/C III),Bweyogerere Hassan Turabi. HC III,hzPoo5zzWjj,aIahLLmtvgT
163,Bwijanga H/C IV,Bwijanga HC IV,ap3Cu39yPkF,xr8EMirOASp
3342,Bwikara H/C III,Bwikara HC III,NQaX9PnpOiB,orgY0d5MJa9
164,Bwindi Community Hospital,Bwindi Community Hospital,VES7ks4zElA,aphcy5JTnd6
2695,Bwindi H/C III,Bwindi HC III,ZhpuIm9GBog,wZrfAgC3WrU
3031,Bwiwula H/C II,Bwiwula HC II,agZi79Er2GX,mv4gKtY0qW8
2506,Bwizi H/C III,Bwizi HC III,a3HP4aNtOMO,uCVQXAdKqL9
166,Bwizibwera H/C IV,Bwizibwera HC IV,SMkx58aUYtC,auswb7JO9wY
3018,Bwondha HC II,Bwondha HC II,aHrBkRnFBmb,mv4gKtY0qW8
3094,Bwongyera H/C III,Bwongyera HC III,mypOsu7U27g,hAoe9dhZh9V
1569,Byakabanda H/C III,Byakabanda HC III,tnBn02e8bRU,P8iz90eiIrW
2455,Case Medical Centre,Case Medical Centre,aT1aouq7op5,aXmBzv61LbM
168,Chahafi H/C IV,Chahafi HC IV,aK1GSPJrhjK,aPhSZRinfbg
2595,Chandaria medical,Chandaria Medical Clinic,LuEKO4AaQZZ,aXmBzv61LbM
2431,Charis H/C III,Charis HC III,Kc7UIYCljdS,Lj8t70RYnEt
969,Chawente H/C III,Chawente HC III,tvw7mudvx3r,JyZJhGXKeEq
2910,Chebonet H/C III,Chebonet HC III,Cxa96htrVdt,aginheWSLef
3002,Chemwon H/C III,Chemwom HC III,mhJpqcMZSMv,h1O9AvNR4jS
2979,Cheptuya H/C III,Cheptuya HC III,mOxAHl3KoLP,aginheWSLef
1870,Kahondo H/C II,Kabarole Kahondo HC II GOVT,sZ9PPpo8ejT,m77oR1YJESj
2977,Chesower H/C III,Chesower HC III,Ny6gpfiiHon,e8m9ZYMRoeR
1713,China Uganda Friendship Hospital- Naguru,Naguru  Hospital  - China Uganda Friends,h40pKp93Mtc,aXmBzv61LbM
2775,Ciforo H/C III,Ciforo HC III,Y0XE9vH5Oeg,QYiQ2KqgCxj
2770,Cilio H/C III,Cilio HC III,v6DcAuQeoeA,WcB3kLlgRTb
2397,Comboni Hospital,Comboni Hospital,OEhMLFc4vaU,It5UGwdHAPF
2503,Ankole Estate Clinic,Ankole Tea Factory HC II,BoGS6ZmpQc2,It5UGwdHAPF
2820,Community H/C Plan Uganda Lugoba(Kawempe),COMMUNITY HEALTH PLAN UGANDA,ws3l8HCEhHB,aIahLLmtvgT
3143,Community Health Plan-Uganda,Community Health Center (kibuku) HC III,vxetMic6GCb,Oyxwe3iDqpR
3142,Kyedooba H/C IV,Kyeizooba HC III,aL6mherCqRW,It5UGwdHAPF
3358,Crane Health Services,Crane Health Care,adSg4gJ5FBY,aIahLLmtvgT
176,Cwero H/C III,Cwero HC III,apGje3lIGEP,Gwk4wkLz7EW
2671,Dabani Hospital,Dabani HOSPITAL,AhDvE2o9F3L,lkuO79O6mRx
2653,Dakabela H/C III,Dakabela HC III,CqefEf18FFW,srmGjHrpVE5
3039,Ddamba H/C III,Damba HC II,UPSV6y2j0B0,a0DfYpC2Rwl
3351,Ddungi H/C II,Ddungi HC II,k7sazN1EJ0o,x75Yh65MaUa
2082,Diika H/C II,Diika HC II,Ya7rTeUc2Dy,B0G9cqixld8
1092,Diima H/C III,Diima HC III,xO0dHAa2wFK,B0G9cqixld8
2914,Dino H/C II,Dino HC II,yEukLFOEQ1X,S5fvUXgY54J
2634,Doctors  Clinic Seguku Maternity And Den,Doctors  Clinic Seguku Maternity And Den,BL7K7k0SrYh,aIahLLmtvgT
179,Dokolo H/C IV,Dokolo HC IV,KBNJtdMGHlZ,wMQ25dybdgH
2407,Donna Medical Centre,Dona Medical Centre HC III,rmyUGedzWB2,YMMexeHFUay
2591,Double Cure Medical Centre,Double Cure Med Center CLINIC,aOHWQc76Dvu,YMMexeHFUay
3402,Nyamigote H/C II,Nyarugote HC II,wMiApjHnWVa,It5UGwdHAPF
3114,Dramba H/C II,Dramba HC III,C7aRTKKbxEP,W1JM2Qdhcv3
2708,Dranya H/C III,Dranya HC III,URmGWanfgpn,iqsaGItA68C
2942,Dream Center H/C III,Dream Centre,fLGGzlZfyOJ,S5fvUXgY54J
2493,Dricile H/C III,Dricile HC III,Nz32J3zs8Cq,iqsaGItA68C
2789,Dufile H/C III,Dufile HC III,Dpv2z5tBsQK,W0kQBddyGyh
771,Dwoli H/C III,Dwooli HC III,aPr9XQM36Dn,PJFtfCyp6Rb
2776,Dzaipi H/C III,Dzaipi HC III,Krxa01FAxdW,QYiQ2KqgCxj
2679,Eastern Division H/C III,Eastern Div. HC III,YS1I62rL00h,srmGjHrpVE5
2873,Ebenezer SDA Medical H/C III,Ebenezer SDA HC III,w1COt9NZVMi,g8M1cWRJZV6
2767,Ediofe H/C III,Ediofe HC III,sJUxokN1Svo,WcB3kLlgRTb
3336,Elema H/C II,Elema HC II,O4KQDQzBA9s,QYiQ2KqgCxj
2778,Eliofe H/C III,Eliofe HC III,o5I1o1YMVxP,WyR8Eetj7Uw
1211,Emesco H/C IV,EMESCO HC III,qXpKvhiylZz,tM3DsJxMaMX
180,Endiinzi H/C III,Endiizi HC III,HUkwcrf8Ozd,UaR7OHycj8c
3275,Engaju H/CII,Engaju HC II,DIE1bNkw04b,sWoNWQZ9qrD
1223,Engali Community H/C,Engari Community HC III,toGKbXMtRf8,qf9xWZu7Dq8
788,Entebbe Hospital MCH General,Entebbe HOSPITAL,yApOnywci25,aIahLLmtvgT
2625,Epi Centre H/C III (Wakiso),Wakiso Epi Centre HC III GOVT,a0plh70j00D,aIahLLmtvgT
2501,Epi Centre H/C IV (Butambala),Butambala Epi Centre HC III GOVT,E1TxjBqAvWB,a3LMKP8z8Xj
3001,Kabasa Memorial Hospital,Kabasa Memorial HOSPITAL,Xm71SWWTqfb,MtpE3CH6vq3
2296,Equator Health Services,Equator Health Services,OLmTe5kU6HD,aXmBzv61LbM
2719,Eremi H/C III,Eremi HC III,r7ps4KEp5W9,W0kQBddyGyh
2790,Eria H/C III,Eria HC III,FQETWwqB2VJ,W0kQBddyGyh
3191,Eseri Domiciliary Clinic,Eseri Dominciliary CLINIC,idkhOzh2TYJ,a0DfYpC2Rwl
182,Etam H/C III,Etam HC III,r4txax3dzBl,ZuQHWOaFQVM
8235,Ewanga H/C III,Ewanga HC III,ppjhr0L8daE,WcB3kLlgRTb
1603,FAD Military H/C IV (MMH),Masindi Military/Army Barracks HC IV,a4dl1FKIVQJ,xr8EMirOASp
2538,Faith Mulira Health Care Center,Faith Mulira Health Care Centre,BVulRfStvvn,aIahLLmtvgT
183,Family Health Resource Centre Kiruhura,Family Health Resource Centre CLINIC,sIXMnx11pLV,qf9xWZu7Dq8
184,Family Hope Centre Jinja,Family Hope Center Jinja,aNxk6ghyV8u,aJR2ZxSH7g4
185,Family Hope Centre Kampala,Family Hope Center Kampala,X0giNVjxX76,aXmBzv61LbM
2313,Fast Line Medical Centre,Fast Line Cinic,dyD1iVotBI3,gUaoj8Geuao
3227,Fiduga Clinic,Fiduga HC III,VFy5xbPCzU3,YMMexeHFUay
2745,Focrev H/C III,Lumino Foc Rev HC III,auwyv5FxrEm,lkuO79O6mRx
187,Fort Portal Regional Referral Hospital,Fort Portal Regional Referral Hospital,Dt6WipQhr4Q,m77oR1YJESj
1840,FortPortal Prisons H/C III,Fort Portal Women Prisons HC II,aZyNT3U2LGI,m77oR1YJESj
2796,FR.Bilbao H/C III,Fr. Bilbao/Bilbao HC III,MQ5ynJIzkbh,W0kQBddyGyh
2060,Franciscan H/C KAKOOGE,Francisca Clinic - NR,K56hypi6AUE,aIahLLmtvgT
1901,Gadafi H/C III,Gaddafi HC III,BMmhOqlF4EB,aJR2ZxSH7g4
834,Gadumire H/C III,Gadumire HC III,Jh6Ds2pV5vS,kJCEJnXLgnh
3097,Galilee Com Gen Hospital,Galilee Community General HOSPITAL,oGFpXMmq8U0,aXmBzv61LbM
2841,Galimagi H/C III,Galimagi HC III,auY0zuO56sC,WiVj4bEhX4P
188,Galiraaya H/C III,Galiraya HC III,yZIc8DX7kUx,ykxQEnZGXkj
3050,Gamatimbei H/C III,Gamatimbei HC III,eN47KTA7oAK,auLatLbcOxf
8213,Gamogo H/C III,Gamogo HC III,jKb8fhTLrfC,aginheWSLef
3350,Gasovu H/C III,Gasovu HC III,TEmxmKVJJPa,aPhSZRinfbg
3328,Gateriteri H/C III,Gateriteri HC III,V5l3C1YQlLa,aPhSZRinfbg
2652,Gborokolongo H/C III,Gborokolongo HC III,gSxv8y8vQ4H,iqsaGItA68C
1720,Ggoli H/C III (Mpigi),Ggoli HC III NGO,SzVYBCcGiM7,YMMexeHFUay
972,Ggolo H/C III,Ggolo HC III,NHQdOv9RFcN,YMMexeHFUay
2451,Ggwatiro Hospital,Ggwatiro Nursing Home HC III,aC6BO225r29,aIahLLmtvgT
2862,Gogonyo H/C III,Gogonyo HC III,ci6s0lgQqFZ,WiVj4bEhX4P
2674,Goli H/C IV (Nebbi),Goli HC III NGO,F3VE0gdRXu1,Xjc0LDFa5gW
880,Goma H/C III,Goma HC III,NB0Ww6f0PiX,a0DfYpC2Rwl
191,Gombe Hospital,Gombe HOSPITAL,xuCJ8NBomxP,a3LMKP8z8Xj
2269,Good Health for Women Clinic (Mengo),Medical Research Center Clinic,yKnFg0zI7sP,aIahLLmtvgT
192,Gulu Independent Hospital,Gulu Independent Hospital,RsY5tCgiuHp,Gwk4wkLz7EW
193,Gulu Military Hospital (4th Division),Gulu  Military Hospital,x1UaYpPwx6c,Gwk4wkLz7EW
3400,Gulu Police H/C III,Gulu Police HC II,afGTmR6EesS,Gwk4wkLz7EW
194,Gulu Prison H/C III,Gulu Prison HC III,i7JbInoEb2D,Gwk4wkLz7EW
195,Gulu Regional Referal Hospital,Gulu Regional Referal Hospital,QDc7Wijvfca,Gwk4wkLz7EW
2034,Gwere H/C II,Gwere HC II,aFLv0Mbd84E,W0kQBddyGyh
2608,Gweri H/C III,Gweri HC III,WY3yVWM5gaL,srmGjHrpVE5
2810,Haama H/C II,Haama HC II,W7fiTCkLzlW,Ut0ysYGEipO
197,Hamurwa H/C IV,Hamurwa HC IV,GzCsU3tbMbg,wZrfAgC3WrU
2822,Hapuuyo H/C III,Hapuuyo HC III,a1H4RSyoXOj,a9tQqo1rSj7
1462,Health Initiative for Africa- Uganda,Health Initiative for Africa - Uganda,D2O6Qzf4hl8,x75Yh65MaUa
1743,Health Initiatives Association,Health Initiative Association Uganda,U4PSDjSLsi2,x75Yh65MaUa
3202,Henrob Medical Centre,Henrob Family Clinic,u3SLVGPpWI8,aIahLLmtvgT
1139,Hima Cement Clinic,Hima Star Clinic,FAjgEVpPiLO,aa8xVDzSpte
2399,Hima Gov't H/C III,Hiima Disp. HC III,D76MlGzidHn,aa8xVDzSpte
3318,Hoima Police H/C III,Hoima Police Clinic HC II PHP,o7OluoErEud,PJFtfCyp6Rb
199,Hoima REGIONAL REF Hospital,Hoima REGIONAL REF Hospital,V2ylFCAVj0U,PJFtfCyp6Rb
2363,Holy Cross H/C III (Kikyusa),Kikyusa Holy Cross HC III,fzBgyH6ixVC,tr9XWtYsL5P
2277,Holy Cross Orthodox Hospital Namungoona,Namungoona Orthodox Hospital HC III,e9F9XvTFIrI,aXmBzv61LbM
2499,Holy Family Hospital-Nyapea,Nyapea HOSPITAL,H5hAGwZHpUb,A4aGXEfdb8P
3149,Holy Innocent's Children's Hospital,Holy Innocents Children's HOSPITAL,aMldu85cKyD,auswb7JO9wY
2616,Holy Innocents H/C III,Holy Innocents Health Centre,TnIUAczx1Hq,tdZbtg9sZkO
1300,Hope Again Medical Centre (Kyenjojo),Hope Again Medical Centre HC III,aLF9fK0AtT7,O9MoQcpZ4uA
1298,Hope Clinic Lukuli,Hope Clinic Lukuli HC II,Ap53MmxflW6,aXmBzv61LbM
3258,Hope Medical Center (Sheema),Hope Medical Centre HC II NGO,yP6WiIyFAj7,xAJgEKKAeRA
3390,Hope Medical Centre,Hope Medical Centre II,FJQvpVMUJlA,yuo5ielNL7W
965,Hukeseho H/C III,Hukeseho HC III,a4qvKbfSybp,Ut0ysYGEipO
201,Ibanda Hospital,Ibanda Hospital,ahn03jwJwRI,r8WLxW9JwsS
202,Ibuje H/C III,Ibuje HC III,M8mSJi1Qcah,JyZJhGXKeEq
1729,Ibulanku Community Health Centre HC III,Ibulanku Community Health Centre HC III,kiuNceUg1Zo,oNxpMjveyZt
203,Iceme H/C III,Iceme Ngo HC III,OYENvTcFrXW,xpIFdCMhVHG
3100,Ndinzi H/C III,Endiizi HC III,HUkwcrf8Ozd,UaR7OHycj8c
204,Iganga Hospital,Iganga Hospital,EKPCmrHaBSg,oNxpMjveyZt
768,Iganga Islamic Medical Center HC III,Iganga Islamic Medical Center HC III,aElqyBOYxsd,oNxpMjveyZt
805,Iganga Municipal Council H/C III,Iganga Town Council HC III,M6qnxgpeCA4,oNxpMjveyZt
3244,Igayaza H/C II,Igayaza HC II,QP3xbv4C32B,Lnewt3iIJaK
2319,Igombe H/CIII,Igombe HC III,PP7yUJOjWsV,oNxpMjveyZt
2734,Ihandiro H/C III,Ihandiro HC III,q4C8iOvwk7A,aa8xVDzSpte
2389,Ikan Medical Center,Ikan Medical Center HC II,JScVS55awQr,aXmBzv61LbM
206,Iki  Iki H/C III,Iki-Iki HC III,cqonmIvPuVM,kb7iUQISRlx
1184,Ikoba H/C III,Ikoba HC III,I9E4CMmLVbn,xr8EMirOASp
1438,Ikonia H/C III,Ikonia HC III,BaAs4hm4jc7,hn1AlYtF1Pu
3171,Ikumba H/C III,Ikumba HC III,S1qinK4bVGQ,wZrfAgC3WrU
792,Ikumbya H/C III (Luuka),Ikumbya HC III,Hw81fhqydaB,hn1AlYtF1Pu
3180,Imvepi H/C III,Imvepi HC II,DDbLsI5S91i,WcB3kLlgRTb
2765,Inde H/C III,Inde HC III,amS3L4P6obf,WcB3kLlgRTb
207,Inomo H/C III,Inomo HC III,mKvTS1QMd3x,JyZJhGXKeEq
3327,International Hospital Kampala,International Hospital Kampala (IHK),a6MbTUZ12aw,aXmBzv61LbM
2467,International Medical Centre,Kampala International Medical Centre HC II,wZ7da8feu18,aXmBzv61LbM
3256,IREMERA H/C III,Iremera HC III,j1c8wmQO6d7,aPhSZRinfbg
2936,Iriiri H/C III,Iriri HC III,n5OgCMvxg5S,EDhGji3EteB
938,Irongo H/C III,Irongo HC III,DHRgoZsi4Mx,hn1AlYtF1Pu
832,Irundu H/C III,Irundu HC III,GRE9Qa05dRS,F3ccON3OCsL
2525,Ishaka Adventist Hospital,Ishaka Adventist Hospital,H61tgLIphOZ,It5UGwdHAPF
210,Ishongororo H/C IV,Ishongororo HC IV,LwODrFWsUAR,r8WLxW9JwsS
3372,Isibuka H/C III,Isibuka Nursing Home HC III,E5kPcprgHM5,UaR7OHycj8c
464,Iss Clinic(Mbarara R R Hospital),Mbarara REGIONAL REF HOSPITAL,ZpJgSAyZtkl,auswb7JO9wY
2857,Isule H/C III,Isule HC III,dtVDXhCkmL8,aa8xVDzSpte
3343,Isunga H/C III,Isunga HC III,v7vSvHb7QUU,orgY0d5MJa9
212,Itojo Hospital,Itojo Hospital,a7lnM83DJGy,hAoe9dhZh9V
2791,Itula H/C III,Itula HC III,X5ebRy9YPbR,W0kQBddyGyh
213,Ivukula H/C III,Ivukula HC III,PrOL9DbHU3G,esIUe2tQAtL
905,Iwemba H/C III,Iwemba HC III,rlXW6WfCgAp,gUaoj8Geuao
983,Iyolwa H/C III,Iyolwa HC III,XJMwYIWSmOO,KhT80mlwJ3Y
2657,Jaana H/C II,Jaana HC II,azzeotS1e0O,JrHILmtK0OU
2513,Jaguzi H/C II,Jagusi HC II,xvsvbPNHC2I,mv4gKtY0qW8
2815,Jangokoro H/C III,Jangokoro HC III,aTH1dUHop5k,A4aGXEfdb8P
2073,JCRC (Wakiso),Joint Clinical Research Center (JCRC)  Clinic,CVoWcUh5ZPP,aIahLLmtvgT
745,Jinja Central H/C III,Jinja Central HC III,JMmqH0e4HlX,aJR2ZxSH7g4
8216,Jinja Islamic H/C,Jinja Islamic HC III,I1bl5B86SPY,aJR2ZxSH7g4
